>ERR4453633.378964,ENST00000246069.12.S8,0
>ERR4453633.826465,ENST00000246069.12.S8,0
>ERR4453633.589852,ENST00000246069.12.S8,0
>ERR4453633.391598,ENST00000474024.5.S9,0
>ERR4453633.237981,ENST00000474024.5.S9,0
>ERR4453633.882840,ENST00000370873.9.S13,1
>ERR4453633.890601,ENST00000343986.9.S4,2
>ERR4453633.593757,ENST00000343986.9.S4,2
>ERR4453633.27965,ENST00000343986.9.S4,2
>ERR4453633.160906,ENST00000343986.9.S4,2
>ERR4453633.355572,ENST00000343986.9.S4,2
>ERR4453633.529991,ENST00000343986.9.S4,2
>ERR4453633.495233,ENST00000343986.9.S4,2
>ERR4453633.52037,ENST00000343986.9.S4,2
>ERR4453633.97965,ENST00000343986.9.S4,2
